Make,Broad.phase.of.flight,Incident Count
Aero Vodochody Aero. Works,Cruise,1
Aero Vodochody Aero. Works,Descent,1
Aero Vodochody Aero. Works,Landing,2
Aero Vodochody Aero. Works,Maneuvering,2
Aero Vodochody Aero. Works,Takeoff,1
Aero Vodochody Aero. Works,Taxi,1
Aero Vodochody Aero. Works,Unknown,1
Aero Works,Unknown,1
AeroFab,Unknown,1
Aerodynamics .,Cruise,1
Aerodyne,Approach,1
Aerofab Inc.,Climb,2
Aerofab Inc.,Landing,2
Aerofab Inc.,Maneuvering,1
Aerofab Inc.,Takeoff,6
Aerofab Inc.,Taxi,1
"Aerofab, Inc.",Landing,1
Aeromot,Landing,1
Aeromot,Takeoff,1
Aeromot,Unknown,1
Aeronca,Approach,33
Aeronca,Climb,10
Aeronca,Cruise,59
Aeronca,Descent,3
Aeronca,Go-around,6
Aeronca,Landing,123
Aeronca,Maneuvering,68
Aeronca,Standing,13
Aeronca,Takeoff,125
Aeronca,Taxi,24
Aeronca,Unknown,23
Aeronca Aircraft Corporation,Unknown,1
Aeronca Champ,Takeoff,1
Aeronca Champion,Landing,1
Aeronca-bubeck Irving,Landing,1
Aeronca/bubeck,Landing,1
Aeroprakt,Landing,1
Aeroprakt,Unknown,1
Aeropro CZ,Unknown,2
Aeros,Unknown,1
Aeros LTD,Unknown,1
Aerospace,Approach,1
Aerospace Tech. Of Australia,Cruise,1
Aerospace Tech. Of Australia,Unknown,1
Aerospatiale,Approach,24
Aerospatiale,Climb,12
Aerospatiale,Cruise,86
Aerospatiale,Descent,12
Aerospatiale,Go-around,2
Aerospatiale,Landing,34
Aerospatiale,Maneuvering,84
Aerospatiale,Other,1
Aerospatiale,Standing,16
Aerospatiale,Takeoff,36
Aerospatiale,Taxi,13
Aerospatiale,Unknown,22
Aerospatiale/socata,Takeoff,1
Aerospool,Unknown,1
Aerosport,Climb,1
Aerosport,Cruise,2
Aerosport,Maneuvering,2
Aerosport,Takeoff,1
Aerosports Connection,Taxi,1
Aerostar,Approach,8
Aerostar,Climb,2
Aerostar,Cruise,16
Aerostar,Descent,3
Aerostar,Landing,39
Aerostar,Maneuvering,1
Aerostar,Standing,6
Aerostar,Takeoff,10
Aerostar,Unknown,2
Aerostar Aircraft Corporation,Unknown,1
Aerostar International,Landing,5
Aerostar International,Unknown,2
Aerostar International Inc,Descent,1
Aerostar International Inc,Landing,1
Aerostar International Inc.,Cruise,1
Aerostar International Inc.,Landing,3
Aerostar International Inc.,Unknown,1
"Aerostar International, Inc.",Landing,1
"Aerostar, S.a",Landing,1
"Aerostar, S.a",Takeoff,1
"Aerostar, S.a",Unknown,1
Aerostar-raven,Landing,1
Aerotechnik,Approach,1
Aerotechnik,Descent,1
Aerotechnik,Takeoff,1
Aerotek,Approach,3
Aerotek,Cruise,3
Aerotek,Descent,1
Aerotek,Go-around,2
Aerotek,Landing,8
Aerotek,Maneuvering,16
Aerotek,Takeoff,2
Aerotek,Taxi,2
Aerotek,Unknown,2
Aerotek-pitts,Landing,1
Aerotrek,Unknown,1
Aerotrike,Takeoff,1
Aerotrike,Unknown,3
Ag-cat Corporation,Maneuvering,1
Ageton,Takeoff,1
Agin Jeffrey T,Landing,1
Agusta,Approach,4
Agusta,Climb,2
Agusta,Cruise,5
Agusta,Landing,2
Agusta,Maneuvering,5
Agusta,Standing,1
Agusta,Takeoff,8
Agusta,Taxi,5
Agusta,Unknown,12
Agusta Spa,Descent,1
Agusta-bell,Unknown,1
Agusta/Westland,Unknown,1
AgustaWestland,Unknown,1
AgustadWestland,Unknown,1
Ainsworth,Unknown,1
Air,Maneuvering,1
Air & Space,Cruise,2
Air & Space,Landing,1
Air & Space,Maneuvering,1
Air & Space,Standing,1
Air & Space,Takeoff,8
Air & Space.,Maneuvering,1
Air Borne Windsports Pty. Ltd.,Takeoff,1
Air Command,Approach,5
Air Command,Descent,1
Air Command,Landing,1
Air Command,Maneuvering,7
Air Command,Takeoff,3
"Air Command International, Inc",Maneuvering,1
Air Creation,Approach,2
Air Creation,Maneuvering,1
Air Creation,Unknown,2
Air Creation/Sides Rick A,Unknown,1
Air Creations,Maneuvering,1
Air Tractor,Approach,17
Air Tractor,Climb,3
Air Tractor,Cruise,44
Air Tractor,Descent,2
Air Tractor,Go-around,1
Air Tractor,Landing,38
Air Tractor,Maneuvering,260
Air Tractor,Standing,3
Air Tractor,Takeoff,145
Air Tractor,Taxi,2
Air Tractor,Unknown,80
Air Tractor Inc,Maneuvering,1
Air Tractor Inc,Unknown,1
Air Tractor Inc.,Climb,1
Air Tractor Inc.,Landing,1
Air Tractor Inc.,Unknown,4
"Air Tractor, Inc.",Unknown,1
Air Trans. Inc,Approach,1
Air Trikes,Maneuvering,1
AirBorne WindSport,Unknown,2
AirIndus,Unknown,1
Airborne,Unknown,2
Airborne America,Unknown,1
Airborne Windsports,Unknown,2
Airborne Windsports Ltd,Takeoff,1
Airborne Windsports PTY LTD,Unknown,2
Airbus,Climb,1
Airbus,Descent,1
Airbus,Landing,1
Airbus,Takeoff,1
Airbus,Taxi,3
Airbus,Unknown,33
Airbus Helicopters,Unknown,2
Airbus Helicopters (Eurocopte,Unknown,1
Airbus Helicopters Deutschland,Unknown,1
Airbus Industrie,Approach,4
Airbus Industrie,Climb,12
Airbus Industrie,Cruise,23
Airbus Industrie,Descent,9
Airbus Industrie,Landing,15
Airbus Industrie,Other,1
Airbus Industrie,Standing,4
Airbus Industrie,Takeoff,21
Airbus Industrie,Taxi,12
Airbus Industrie,Unknown,41
Airbus Industries,Taxi,1
Aircoupe,Approach,2
