Make,Broad.phase.of.flight,Incident Count
Knapp,Unknown,1
Knapple/wray Lancair,Maneuvering,1
Knight,Takeoff,1
Knoepflein,Cruise,1
Knoll-bensen,Landing,1
Knosp,Cruise,1
Knowles,Landing,1
Knox,Landing,1
Kociemba Robert H,Unknown,1
Kodiak,Unknown,1
Koen Lancair,Unknown,1
Kohles,Takeoff,1
"Kojima, Jun Lewis",Takeoff,1
Kokenge,Takeoff,1
Kokes,Taxi,1
Kolb,Takeoff,1
Kolb,Unknown,6
Kolb Company,Approach,3
Kolb Company,Climb,1
Kolb Company,Cruise,3
Kolb Company,Landing,1
Kolb Company,Maneuvering,2
Kolb Company,Takeoff,6
Kolb Company,Taxi,1
Kolb Twin Star,Climb,1
Koleno,Unknown,1
Kollier,Maneuvering,1
Koons-donald,Takeoff,1
Koopsen,Approach,1
Kope,Takeoff,1
Kopp,Landing,1
Kopp Robert E,Takeoff,1
Korsch,Landing,1
Kory G. Cornum,Maneuvering,1
Korzep,Approach,1
Kosch,Maneuvering,1
Koskella,Approach,1
Koster,Takeoff,1
Koutz,Landing,1
Koval,Approach,1
Kowtun,Maneuvering,1
Kraetzner,Takeoff,1
Kraft,Cruise,1
Kragnes,Cruise,1
Kral,Unknown,1
Krall,Landing,1
Kramer,Takeoff,1
Kreatz,Takeoff,1
Krejci,Takeoff,1
Kreling,Unknown,1
Kreps,Unknown,1
Kretsinger,Maneuvering,1
Krips,Approach,1
Krotje,Approach,1
Krotje,Takeoff,1
Krowell,Maneuvering,1
Krueger,Maneuvering,1
Kruer,Takeoff,1
Krueter,Takeoff,1
Krug,Takeoff,1
Krugler,Takeoff,1
Kubicek,Unknown,2
Kucki,Landing,1
Kucklick,Landing,1
Kucklick,Takeoff,1
Kuhn,Cruise,1
Kunc,Approach,1
Kuntz,Unknown,1
Kurzenburger Stuka,Takeoff,1
Kuster,Cruise,1
L GOLDNER,Unknown,1
L-BIRD LLC,Unknown,2
LAIRD,Unknown,1
LAKE,Unknown,14
LAMB-ROBIN,Unknown,1
LAMINAR,Unknown,1
LAMMERS SJEF J,Unknown,1
LANCAIR,Unknown,19
LANCAIR COMPANY,Unknown,7
LANCE M HOOLEY,Unknown,1
LANDRUM KELLY T,Unknown,1
LANGE FLUGZEUGBAU GMBH,Unknown,1
"LANGSTON, FREDERICK L",Unknown,1
LANKENAU,Unknown,1
LANSHE AEROSPACE,Unknown,1
LANTZ,Unknown,1
LANTZAIR FLYERS INC,Unknown,1
LARRY H SLIGAR,Unknown,1
LARRY KETTERLING,Unknown,1
LARSEN,Unknown,1
LARSON,Unknown,1
LARSON KEN W,Unknown,1
LARSON ROGER H,Unknown,1
LATHROP STEVEN A,Unknown,1
LAURIENZO GABRIEL A,Unknown,1
LAURITSEN RALPH M,Unknown,1
LAVENDER ALAN P,Unknown,1
LAVIA ARGENTINA,Unknown,1
LAVIA ARGENTINA S.A.,Unknown,1
LAVIGNA,Unknown,1
LAWRENCE O NOLTE,Unknown,1
LAWSON J/BOWIE R/SMITH M,Unknown,1
LAWSON RON,Unknown,1
LAWSON RONALD S,Unknown,1
LAWWILL TED,Unknown,1
LAYSON STANLEY B,Unknown,1
LAZAIR,Unknown,1
LAZEAR JOHN T,Unknown,1
LEACH MICHAEL,Unknown,1
LEAGUE,Unknown,1
LEARJET,Unknown,25
LEARJET INC,Unknown,10
LEATHERMAN KARL L,Unknown,1
LEDER JOHN A,Unknown,1
LEE OSCAR D III,Unknown,1
LEE PAUL,Unknown,1
LEFEVER PAUL M,Unknown,1
LEINEKE WALTER L,Unknown,1
LEMOND,Unknown,1
LENNOX KENNETH J,Unknown,1
LEON E EVERETT,Unknown,1
LEONARD TRUDY,Unknown,1
LEONARDO,Unknown,1
LEONARDO SPA,Unknown,1
LEPOW DAVID A,Unknown,1
LEROUX JOHN F,Unknown,1
LESTER ROBERT E,Unknown,1
LET,Unknown,24
LEVY ADAM V,Unknown,1
LEWIS BRANDON SCOTT,Unknown,1
LEWIS KEITH O,Unknown,1
LIBERTY AEROSPACE,Unknown,1
LIBERTY AEROSPACE INCORPORATED,Unknown,7
LIMING LOUIS L,Unknown,1
LINDSTRAND,Unknown,4
LINDSTRAND BALLOONS,Unknown,9
LINDSTRAND BALLOONS USA,Unknown,1
LINSTRAND,Unknown,1
LITE FLIGHT,Unknown,1
LITEFLITE PTY LTD,Unknown,1
LITHUANIAN FACTORY OF AVIATION,Unknown,1
LITTLE EAGLE,Unknown,1
"LLEWELLYN, WARWINC W",Unknown,1
LOBB KENNETH,Unknown,1
LOCKHEED,Unknown,11
LOCKWOOD,Unknown,1
LOCKWOOD AIRCRAFT CORP,Unknown,1
LOEHLE AIRCRAFT CORP,Unknown,1
LOEHR THOMAS H,Unknown,1
LOFLIN,Unknown,1
LOGAN JERRY L,Unknown,1
LONG,Unknown,2
LOOFBOURROW JOHN W,Unknown,1
LOOMIS,Unknown,1
LOPEZ PHILLIP,Unknown,1
LORAH ELDEN A,Unknown,1
LORENTZEN,Unknown,1
LORENZ STEPHEN,Unknown,1
LOWERRE BRUCE T,Unknown,1
LSA AMERICA INC,Unknown,1
LUCAS D E/ LUCAS K A,Unknown,1
LUCIANO EDISON,Unknown,1
LUDWIG LARRY E,Unknown,1
LUECK,Unknown,1
LUNDAK ROBERT,Unknown,1
LUSCOMBE,Unknown,95
LUTERS ARNIS V,Unknown,1
LUTTENBACHER KURT,Unknown,1
LUY WAYMAN,Unknown,1
LYDON PATRICK F,Unknown,1
LYMAN RANDALL/SCOTT DAVID,Unknown,1
LYNN PERRY,Unknown,1
LYONS ROBERT,Unknown,1
La Moutte,Unknown,1
Labarge,Takeoff,1
Labarre,Landing,1
Labhart,Approach,1
Lacey,Takeoff,1
Lach,Landing,1
Lacour,Unknown,1
Ladd,Takeoff,1
Laferriere,Takeoff,1
Lafrance V-witt,Maneuvering,1
Lagatore,Maneuvering,1
Laister,Approach,2
Laister,Cruise,1
Laister,Landing,1
Laister,Takeoff,1
Lake,Approach,4
Lake,Climb,5
Lake,Cruise,14
Lake,Descent,3
Lake,Go-around,4
Lake,Landing,29
Lake,Maneuvering,5
Lake,Other,1
Lake,Standing,3
Lake,Takeoff,51
Lake,Taxi,5
Lake,Unknown,12
Lake John K,Unknown,1
Lakeland Ultralites Inc.,Maneuvering,1
Lamb,Maneuvering,1
Lamb,Taxi,1
Lamb (vans),Cruise,1
Lamb/starduster,Landing,1
Lambert John G,Approach,1
Lamont,Approach,1
Lampert,Approach,1
Lampert,Maneuvering,1
Lampman,Maneuvering,1
Lancair,Approach,4
Lancair,Climb,1
Lancair,Cruise,5
Lancair,Descent,1
Lancair,Landing,6
Lancair,Other,1
Lancair,Takeoff,3
Lancair,Unknown,12
Lancair Company,Approach,2
Lanceair,Approach,1
Lanceair,Landing,1
Landes/karich/schmidt,Maneuvering,1
Landoll,Takeoff,1
Landry,Takeoff,1
"Lane Progressive Aerodyne, Inc",Landing,1
Lanford,Approach,1
Langeford,Go-around,1
Langerud,Maneuvering,1
Langley,Takeoff,1
Lanham,Unknown,1
Lanier,Takeoff,1
Lanier James A,Unknown,1
Lanny Rundell,Landing,1
Lansdorf,Unknown,1
Laporte,Maneuvering,1
Lardas,Maneuvering,1
Lark (i.c.a.),Cruise,1
Lark Aviation,Cruise,1
Larkin,Landing,1
"Larocque, Raymond E.",Cruise,1
Larry E. Medlin,Approach,1
Larry Groover,Takeoff,1
Larry J. Cook,Cruise,1
Larry R. Kinsey,Cruise,1
Larry Robbins,Maneuvering,1
Larry Schindler,Takeoff,1
Larry Woods,Landing,1
Lars,Cruise,1
Larsen,Climb,1
Larsen,Takeoff,1
Larsen Charles Bennett,Approach,1
Larson,Cruise,1
Larson,Takeoff,2
Larson,Taxi,1
Larson Smith Miniplane,Maneuvering,1
"Larson, C.h.",Approach,1
Laseure,Unknown,1
Lassiter,Takeoff,1
Latham,Landing,1
Latham Alco,Approach,1
Latter,Taxi,1
Lattimore-dwyer,Cruise,1
Laurel Aero Club,Cruise,1
Laurent A. Cloutier,Takeoff,1
Laux Pitts,Maneuvering,1
Law,Landing,1
Lawing Thomas R,Takeoff,1
Lawrence,Maneuvering,1
Lawrence,Takeoff,1
Lawrence H. Macey,Cruise,1
Lawson Special,Takeoff,1
Laycock,Cruise,1
Lazair,Maneuvering,1
Lazarini,Takeoff,1
Lciv Llc,Approach,1
Learjet,Approach,16
Learjet,Climb,5
Learjet,Cruise,4
Learjet,Descent,4
Learjet,Go-around,3
Learjet,Landing,30
Learjet,Maneuvering,6
Learjet,Takeoff,15
Learjet,Taxi,2
Learjet,Unknown,26
Learjet Inc,Landing,1
Leblanc,Landing,1
Leblanc,Taxi,1
Lee,Approach,1
Lee,Landing,3
Lee Harold Swarthout,Landing,1
Lee Kolb,Approach,1
Lee M. Brown,Cruise,1
Lee S. Harvard,Takeoff,1
Lee Stevens,Takeoff,1
"Lee, David",Maneuvering,1
Lefever-paul,Cruise,1
Leffler/mcfarlane,Approach,1
Legacy,Unknown,1
Legrand,Go-around,1
Lehman/jerrell,Takeoff,1
Leibert,Takeoff,1
Leider,Unknown,1
Leigh,Unknown,1
Lemoine,Approach,1
Lemoine Marvin J. Jr.,Maneuvering,1
Lemuel May,Cruise,1
Lenart,Takeoff,1
Leonard,Takeoff,1
Leonard Walters,Approach,1
Leone,Cruise,1
Leone,Landing,1
Lerch,Unknown,1
Lerille,Approach,1
Lerohl,Takeoff,1
Leroy Lakey,Unknown,1
Lerstang,Landing,1
Lesemann,Approach,1
Leslie,Landing,1
Leslie Briggs,Takeoff,1
Leslie J. Royal,Takeoff,1
Lessel,Takeoff,1
Lester F.w. West,Takeoff,1
Let,Approach,27
Let,Climb,1
Let,Cruise,5
Let,Descent,6
Let,Landing,44
Let,Maneuvering,12
Let,Takeoff,9
Let,Unknown,8
Let Np Kinovice,Approach,1
Letecky Zavody,Landing,1
Lett,Takeoff,1
Lett R/campbell K,Maneuvering,1
Leveck,Cruise,1
Levick,Landing,1
Levick,Takeoff,1
Levitsky,Maneuvering,1
Lewis,Approach,3
Lewis,Landing,1
Lewis,Maneuvering,1
Lewis,Takeoff,3
Lewis Jennings,Unknown,1
Lewis-pexton,Maneuvering,1
Lewis-starduster,Maneuvering,1
Leza Lockwood,Unknown,1
"Lgs Aviation, Inc.",Approach,1
Libersat,Maneuvering,1
Liberty,Landing,1
Liberty,Unknown,1
Liberty Aerospace,Unknown,1
Liberty Aerospace Inc.,Go-around,2
Liberty Aerospace Inc.,Landing,2
Liberty Aerospace Inc.,Unknown,1
Liberty Aerospace Incorporate,Unknown,1
"Liberty Aerospace, Inc.",Landing,1
Lidgard,Takeoff,1
Lidster,Cruise,1
Lien,Unknown,1
"Light Aero,inc. (ashley)",Cruise,1
Lightcap,Landing,1
"Lighthizer, Richard E.",Takeoff,1
Lightning Avion Eab LLC,Unknown,1
Lima,Unknown,1
Limes,Approach,1
Lindberg,Climb,1
Lindgren Evans,Maneuvering,1
Lindsay Davis,Approach,1
Lindstrand,Landing,1
Lindstrand,Unknown,5
Lindstrand Balloons,Climb,1
Lindstrand Balloons,Landing,6
Lindstrand Balloons,Taxi,1
Lindstrand Balloons,Unknown,1
Lingwall,Taxi,1
Link,Approach,1
Link-johnson-chessman,Maneuvering,1
Linke,Unknown,1
Linwood R. Lawrence,Landing,1
Lipscomb,Landing,1
Litchford,Takeoff,1
Lithuanian Factory Of Aviation,Descent,1
Lithuanian Factory Of Aviation,Landing,1
Little,Takeoff,1
Livpt Inc,Takeoff,1
Lloyd Feary,Landing,1
Lo-n-slo Airsports Inc.,Maneuvering,1
Lockamy,Takeoff,1
Lockheed,Approach,12
Lockheed,Climb,5
Lockheed,Cruise,14
Lockheed,Descent,6
Lockheed,Go-around,2
Lockheed,Landing,14
Lockheed,Maneuvering,7
Lockheed,Other,3
Lockheed,Standing,5
Lockheed,Takeoff,15
Lockheed,Taxi,10
Lockheed,Unknown,19
Lockheed-martin,Maneuvering,1
Lockwood,Maneuvering,1
Lockwood,Unknown,1
Locolce/blackwell,Approach,1
Lodge,Maneuvering,1
Loehle,Takeoff,1
Loehle Ent.,Landing,1
Loehle-avia,Takeoff,1
Logan,Approach,1
Logan,Landing,1
Logan,Maneuvering,1
"Logan, B.a.",Climb,1
Logston,Taxi,1
Lombard Dilley,Cruise,1
Lon J. Mcknight,Cruise,1
Long,Cruise,2
Long,Maneuvering,1
Long E-z-e,Landing,1
Long Pitts,Landing,1
Long-ez,Maneuvering,1
Longjev,Landing,1
Longren,Takeoff,1
Longtin,Climb,1
Lonnie Johnson,Cruise,1
Lonnie W. Ratliff,Maneuvering,1
Loomis,Climb,1
Lopez Lancair,Cruise,1
Loral Corp.,Maneuvering,1
Loranger,Takeoff,1
Lorello,Takeoff,1
Louis Amato,Takeoff,1
Louis Edmondson,Takeoff,1
Louks,Takeoff,1
Lounsbery,Landing,1
Louttit,Maneuvering,1
"Love, Sanford W.",Maneuvering,1
Lovern,Maneuvering,1
Lowder,Cruise,1
Lowe,Approach,1
Lowe,Cruise,1
Lowe/bensen,Maneuvering,1
Lowe/law,Landing,1
Lowther,Cruise,1
Ltv,Cruise,1
Ltv Aerospace Industries,Maneuvering,1
Luciani,Landing,1
Luckett,Maneuvering,1
Luckey,Cruise,1
Lucky,Cruise,1
Ludeman,Takeoff,1
Luhnau,Approach,1
Lunceford,Unknown,1
Lund,Landing,1
Lunn (vans),Takeoff,1
Luscombe,Approach,32
Luscombe,Climb,5
Luscombe,Cruise,30
Luscombe,Descent,3
Luscombe,Go-around,3
Luscombe,Landing,124
Luscombe,Maneuvering,26
Luscombe,Other,1
Luscombe,Standing,5
Luscombe,Takeoff,61
Luscombe,Taxi,5
Luscombe,Unknown,24
Luscombe Silvaire Aircraft Co.,Unknown,1
Lutes,Landing,1
Lutke,Cruise,1
Luttrell-lacky,Takeoff,1
Lutz,Approach,2
Lutz,Takeoff,1
Lycan,Approach,1
Lydick,Maneuvering,1
Lynch Starduster,Takeoff,1
Lyon,Landing,1
Lyons,Unknown,1
Lyons Stueckle,Landing,1
Lyoyd Thompson,Landing,1
M SQUARED,Unknown,1
M Squared,Unknown,1
M-SQUARED,Unknown,2
M-SQUARED AIRCRAFT,Unknown,2
M. C. Thomas,Cruise,1
M.c. Thomas,Landing,1
M2,Takeoff,1
M7 AEROSPACE LLC,Unknown,1
M7 Aerospace,Unknown,1
M7Aero,Unknown,1
MAARTEN H VERSTEEG,Unknown,1
MACDONALD CRAIG,Unknown,1
MACE JUSTIN I,Unknown,1
MACLEOD,Unknown,1
MAGNAGHI AERONAUTICA SPA,Unknown,2
MAGNI,Unknown,1
MAGNUS AIRCRAFT LLC,Unknown,1
MAHER DANIEL J,Unknown,1
MAHON PAUL D,Unknown,1
MAIN AIR,Unknown,1
MAKELA,Unknown,1
MALINOWSKI WALTER S,Unknown,1
MALKIN ROY K,Unknown,1
MALLORY CHRISTOPHER L,Unknown,1
MANISCALCO,Unknown,1
MANTELL ALLAN T,Unknown,2
MANTOOTH,Unknown,1
MANWEILLER,Unknown,1
MANZITTO MICHAEL A,Unknown,1
MARCONI FRED I JR,Unknown,1
MARK C PAULS,Unknown,1
MARK COBY,Unknown,1
MARK DIVITA,Unknown,1
MARK GOLDBERG,Unknown,1
MARKS STEVEN,Unknown,1
MARLEY,Unknown,1
MARLMAN,Unknown,1
MARLOW,Unknown,1
MARLOWE THOOFT,Unknown,1
MARQUART,Unknown,1
MARRERO ANDRES,Unknown,1
MARSH AVIATION,Unknown,1
MARTIN CHARLES A,Unknown,1
MARTIN CURTIS,Unknown,1
MARTIN EDWARD H,Unknown,1
MARVIN FAULK,Unknown,1
MARY ALEXANDER,Unknown,1
MAS EVENTS,Unknown,1
MASON HAL J,Unknown,1
MASON ROBERT,Unknown,1
MATESKON,Unknown,1
MATHENY LARRY E,Unknown,1
MATHIAS LINDA B,Unknown,1
MATHIEU,Unknown,1
MATHIS MELVIN R,Unknown,1
MATTHEWS H THOMAS,Unknown,1
MAULE,Unknown,144
MAULE AIRCRAFT CORP,Unknown,1
MAURER ELMO A,Unknown,1
MAXAIR,Unknown,3
MAXAIR DRIFTER,Unknown,1
MAXCY CHRISTOPHER L,Unknown,1
MAXFLY INC/MCKAY WM,Unknown,1
MAXSON PHIL,Unknown,1
MAYS,Unknown,1
MAZUREK KEITH P,Unknown,1
MBB,Unknown,3
MCADAM W E,Unknown,1
MCARTHUR,Unknown,1
MCCAULEY GENE E,Unknown,1
MCCLEERY,Unknown,1
MCCLISH,Unknown,1
MCCLURE B J,Unknown,1
MCCLUSKEY,Unknown,1
MCCORKLE ROBERT B,Unknown,1
MCCOWAN STEVE A,Unknown,1
MCCRARY BOBBY C JR,Unknown,1
MCCULLOCH JERRY,Unknown,1
MCCURRY CHARLES P,Unknown,1
MCDANIEL,Unknown,1
MCDANIEL JAMES D,Unknown,1
MCDONALD HOWARD BRIAN,Unknown,1
MCDONALD LYNN B,Unknown,1
MCDONNELL DOUGLAS,Unknown,78
MCDONNELL DOUGLAS AIRCRAFT CO,Unknown,6
MCDONNELL DOUGLAS CORPORATION,Unknown,1
MCDONNELL DOUGLAS HELI CO,Unknown,11
MCDONNELL DOUGLAS HELICOPTER,Unknown,31
MCDONNELL-DOUGLAS,Unknown,1
MCFARLAND BILL,Unknown,1
MCFARLAND WM H,Unknown,1
MCGLAUGHLIN RICHARD,Unknown,1
MCGRATH ROBERT F,Unknown,1
MCHARGUE,Unknown,1
MCHENRY GEORGE B JR,Unknown,1
MCHOLLAND,Unknown,1
MCHOLLAND C L,Unknown,1
MCHUGH TONY,Unknown,1
MCINTOSH DONALD W,Unknown,1
MCKAY GENE,Unknown,1
MCKEEHAN JAMES F,Unknown,1
MCKENNA,Unknown,1
MCKENNA GLEN R,Unknown,1
MCKENNA JAMES E,Unknown,1
MCKENZIE,Unknown,1
MCKENZIE DOUGLAS E,Unknown,1
MCKENZIE JOHN P,Unknown,1
MCKINNEY CHARLES R,Unknown,1
MCLEOD ALAN,Unknown,1
MCMICHAEL ELMER L,Unknown,1
MCMILLAN JOEL L,Unknown,1
MCMURRAY DAVID C,Unknown,1
MCNULTY JOHN S,Unknown,1
MCPHERSON JOHN G,Unknown,1
MD HELICOPTER,Unknown,35
MD HELICOPTER INC,Unknown,7
MD HELICOPTERS,Unknown,1
MD HELICOPTERS INC,Unknown,5
"MD HELICOPTERS, INC.",Unknown,1
MD Helicopter Inc,Unknown,2
MD Helicopters Inc,Unknown,1
MDHI,Unknown,1
MDS FYING LLC,Unknown,1
MEAD,Unknown,1
MEANS ROBER C,Unknown,1
MEDWAY,Unknown,1
MELBORN JOE B,Unknown,1
MELVIN K CALLEN,Unknown,1
MENZIMER GARY RAY,Unknown,1
MERIAN RICHARD F,Unknown,1
MERIWETHER JON,Unknown,1
MERRELL STEPHEN,Unknown,1
MERRITT LESLIE R,Unknown,1
MERWIN,Unknown,1
MESCHLER GARY R,Unknown,1
MESSERSCHMITT-BOELKOW-BLOHM,Unknown,2
MESSERSCHMITT-BOLKOW-BLOHM,Unknown,5
METCALFE ROBERT B,Unknown,1
MEUER MARK,Unknown,2
MEYER,Unknown,2
MEYER CLAIR O,Unknown,1
MEYER FRED J,Unknown,1
MEYER GEOFFREY A,Unknown,1
MEYER ROBERT,Unknown,1
MEYERES F L/MEYERES M M,Unknown,1
MEYERS,Unknown,7
MEYERS INDUSTRIES INC,Unknown,3
MICHAEL A HOWARD,Unknown,1
MICHAEL ADAMCZYK,Unknown,1
MICHAEL BURTON,Unknown,1
MICHAEL DEAN GRISSOM,Unknown,1
MICHAEL J ROBBINS,Unknown,1
MICHAEL R ALEXANDER,Unknown,1
MICHAEL S/MICHAEL K,Unknown,1
MICHAEL V CRANFORD,Unknown,1
MICHAEL W MORGAN,Unknown,1
MICHAEL WILSON,Unknown,1
MICHEL PAUL JOHN,Unknown,1
MICKLER LARRY J,Unknown,1
MICROLITES PTYLTD,Unknown,1
MID-SOUTH CUSTOM CRAFT INC,Unknown,1
MIGAS,Unknown,1
MIKOYAN GUREVICH,Unknown,2
MILLER,Unknown,3
MILLER CHARLES W,Unknown,1
MILLER GREGORY S,Unknown,1
MILLER GREGORY SCOTT,Unknown,1
MILLER J KIRTLEY,Unknown,1
MILLER RAYMOND A,Unknown,1
MILLER ROGER,Unknown,1
MILLER STEVEN M,Unknown,1
MILLER-THORP,Unknown,1
MILLER/CULPEPPER,Unknown,1
MILLHOUSE D SCOTT,Unknown,1
MILLS,Unknown,1
MILLS GREGORY T,Unknown,1
MILLS MICHAEL,Unknown,1
MILLSAP DENNIS,Unknown,1
MINI MAX,Unknown,1
MISCHKE,Unknown,1
MITCHELL DAVID N,Unknown,1
MITCHELL DERRYLE V,Unknown,1
MITSUBISHI,Unknown,16
MIke Reed,Unknown,1
MKII Corporation,Unknown,1
MOE-PIETENPOL,Unknown,1
MOFFITT OSCAR/ KIT PROSTAR A/C,Unknown,1
MONNETT,Unknown,2
MONNETT JOHN T JR,Unknown,1
MONOCOUPE,Unknown,2
MONROE DENNIS,Unknown,1
MONROIG PEDRO J,Unknown,1
MONTANA,Unknown,1
MONTE CLARK,Unknown,1
MOODY-SIPLE,Unknown,1
MOONEY,Unknown,242
MOONEY AIRCRAFT CORP.,Unknown,34
MOONEY AIRPLANE CO INC,Unknown,10
"MOONEY AIRPLANE COMPANY, INC.",Unknown,1
MOONEY INTERNATIONAL CORP,Unknown,1
MOORE,Unknown,2
MOORE BYRON J,Unknown,1
MOORE DAVID,Unknown,1
MOORE EDWARD R,Unknown,1
MOORE GLENN,Unknown,1
MOORE JOSEPH O,Unknown,1
MOORE THOMAS O,Unknown,1
MORAVAN,Unknown,1
MORGAN JAMES E,Unknown,1
MORIARTY MARVIN,Unknown,1
MORMILE FRANCIS W,Unknown,1
MORRIS THOMAS LEE,Unknown,1
MORRISEY,Unknown,3
MORRISON,Unknown,1
MORRISON JOSEPH,Unknown,1
MORRISON MARVIN E JR,Unknown,1
MORRISON ROCKY V,Unknown,1
MORSE FRANK L,Unknown,1
"MORSE, FRANK L.",Unknown,1
MOSER GEORG,Unknown,1
MOSES TIM C,Unknown,1
MOSIER ROBERT S,Unknown,1
MOSQUITO,Unknown,3
MOSSMAN MICHAEL D,Unknown,1
MOTLEY GARY W,Unknown,1
MOULTON HOWARD WELLS,Unknown,1
MOYES,Unknown,1
MOYES B/BAILEY B,Unknown,1
MOYES BAILEY,Unknown,1
MOYNAHAN,Unknown,1
MOYNIHAN RICHARD D,Unknown,1
MUDGE RAY,Unknown,1
MUDRY,Unknown,1
MUELLER MICHAEL WALTER,Unknown,1
MUFFETT,Unknown,1
MULEC FRANK A,Unknown,1
MULHOLLAND ROBERT A,Unknown,1
MULLOY CHARLES,Unknown,1
MUNSON ROGER J,Unknown,1
MURRAY BLAIR L,Unknown,1
MURRAY FRANK H,Unknown,1
MURRAY RICHARD F,Unknown,1
MUSE,Unknown,2
MUSICK,Unknown,1
MUSTANG,Unknown,2
MX AIRCRAFT LLC,Unknown,3
MXR TECHNOLOGIES,Unknown,2
MXR TECHNOLOGIES INC,Unknown,1
MYERS,Unknown,1
MYERS DONALD E,Unknown,1
MYRON OLESON,Unknown,1
MacAdams,Unknown,1
Mace,Maneuvering,1
Macphee,Maneuvering,1
Macphee,Standing,1
Mader,Approach,1
Madera,Unknown,1
Madewell,Approach,1
Madorin,Landing,1
Madsen,Maneuvering,1
Madsen,Takeoff,1
Madsen/rans,Takeoff,1
Maggs,Unknown,1
Magni,Unknown,1
Mahan,Takeoff,1
Mahan Hardaway,Landing,1
Mahler,Takeoff,1
Mahoney,Takeoff,1
Mahre,Unknown,1
Malechek,Cruise,1
Mallian,Cruise,1
Malone,Takeoff,1
Malone Henry O,Unknown,1
Malott,Takeoff,1
Manarin/johnson,Takeoff,1
Mancini,Landing,1
Mancini,Maneuvering,1
Mandley,Standing,1
Mankovich,Descent,1
Mankovich,Landing,1
Mannon-underwood,Approach,1
Manoucher,Landing,1
Manta,Landing,1
Manta Products,Takeoff,1
Manville,Landing,1
Manville,Takeoff,1
Manweiler,Maneuvering,1
Mapes,Takeoff,1
Mar-flite,Landing,1
Marcellus,Landing,2
Marchetti,Takeoff,1
Marcy,Takeoff,1
Mareik-bensen,Maneuvering,1
Margeson/heidebrink,Cruise,1
Maridon,Cruise,1
Marier,Takeoff,1
Marino,Cruise,1
Marino,Unknown,1
Mark Ewart,Cruise,1
Mark Gibson,Cruise,1
Mark Streitz,Cruise,1
Marks,Takeoff,1
Marks CA III,Unknown,1
Markwood,Landing,1
Marland E Davis,Landing,1
Marlin,Unknown,1
Marlow Hilyard,Landing,1
Marr/eckburg,Approach,1
Marrek Smyth,Landing,1
Marrin,Unknown,1
Marrone,Maneuvering,1
Marsh-turner,Climb,1
Marshall,Unknown,1
Marshall James J,Unknown,1
Martel,Cruise,1
Martin,Approach,1
Martin,Climb,1
Martin,Landing,2
Martin,Standing,1
Martin,Takeoff,3
Martin Company,Maneuvering,1
Martin Company,Takeoff,2
Martin-pitts,Approach,1
Martin/harris,Approach,1
Marvin A. Smith,Unknown,1
Marvin E. Eubanks,Takeoff,1
Marvin T Eiland,Descent,1
Masak,Cruise,1
Masak,Maneuvering,1
Mascari,Takeoff,1
Mascola,Maneuvering,1
Masko,Maneuvering,1
Masnic,Takeoff,1
Mason,Cruise,1
Mason,Takeoff,1
Mason,Unknown,3
"Mason, Jack A.",Cruise,1
Massegee,Maneuvering,1
Masselink,Takeoff,1
Massey,Landing,1
Massey,Maneuvering,1
Master Donald C,Approach,1
Mastopietro,Cruise,1
Matey,Maneuvering,1
Mathew M. Kerr,Landing,1
Mathews,Landing,1
Matter,Cruise,1
Matthews,Maneuvering,1
Mattie,Landing,1
Mattison,Approach,1
Mattison,Go-around,1
Mattison,Maneuvering,2
Matto,Cruise,1
Mattson,Cruise,1
Mauck,Unknown,1
Maule,Approach,21
Maule,Climb,4
Maule,Cruise,34
Maule,Descent,6
Maule,Go-around,11
Maule,Landing,217
Maule,Maneuvering,26
Maule,Standing,4
Maule,Takeoff,78
Maule,Taxi,6
Maule,Unknown,38
Maule Air Inc.,Approach,1
Maupin,Maneuvering,1
Max A Boesiger Jr,Unknown,1
Maxair,Cruise,1
Maxair,Landing,1
Maxair,Maneuvering,4
Maxair,Takeoff,3
Maxair Aircraft Corp.,Takeoff,1
Maxfield,Cruise,1
"Maya, Jaime",Cruise,1
Mayala,Approach,1
Mayala,Cruise,1
Mayers,Landing,1
Mayers,Takeoff,1
Mayfield,Landing,1
Mayfield,Takeoff,1
Mayo,Unknown,1
Maysmike,Landing,1
Mazzon,Landing,1
Mbb,Approach,7
Mbb,Climb,2
Mbb,Cruise,16
Mbb,Landing,5
Mbb,Maneuvering,18
Mbb,Standing,2
Mbb,Takeoff,13
Mbb,Taxi,1
Mbb,Unknown,6
Mbb-bolkow,Maneuvering,1
Mc Ardle,Takeoff,1
McClish,Unknown,1
McCurdy,Unknown,1
McDonnell Douglas,Unknown,4
McDonnell Douglas Helicopter,Unknown,1
McDonnell Douglas Helicopter C,Unknown,1
McDonnell Douglas Helicopters,Unknown,1
McGlashan,Unknown,1
McGuire,Unknown,1
McNear,Unknown,1
McSwain,Unknown,1
Mcanally,Takeoff,1
Mcbride,Landing,1
Mccaa,Takeoff,1
Mccain,Cruise,1
Mccall,Cruise,2
Mccall,Takeoff,1
Mccan,Maneuvering,2
Mccann,Landing,1
Mccarty,Landing,2
Mccarty,Unknown,1
Mcclanahan,Cruise,1
Mcclary,Maneuvering,1
Mcclead,Cruise,1
Mcclellan J. Grote,Approach,1
Mcclintic-piercie,Maneuvering,1
Mcclintock,Landing,1
Mcclish,Approach,1
Mcclung,Cruise,2
Mcclung,Taxi,1
Mccomb,Cruise,1
Mcconnell,Landing,1
